Отметка времени,Укажите ваш возраст,Укажите ваш пол,Укажите ваш город,Какая цветовая гамма интернет-магазина вам нравится?,Сколько по времени вы готовы ждать свой заказ?,Что из перечисленного могло бы мотивировать вас к покупке?,Как долго вы готовы ждать ответа от менеджера  по вашему заказу?,Какой способ обратной связи с менеджером вам наиболее удобен?,Вы когда-нибудь покупали мерч? ,"Вам важно, какого размера будет логотип на мерче?",Какой мерч вам интереснее всего?,"Вам был бы интересен мерч без логотипа, который отражал бы философию конкретного бренда? Пример - футболки с надписью ""Иноагент"", выпущенные ""Медузой"" совместно с другими брендами ",Вам нравятся цитаты в виде принта на мерче?,Как вы относитесь к юмористическим цитатам на мерче?,"Вы обычно покупаете мерч после важных мероприятий? Например, после концерта или интересной отраслевой конференции","Вам важно, чтобы вы сами могли придумать свой дизайн для мерча: выбрать уникальное сочетание цвета и принта?",Мерч в качестве бонуса мотивировал бы вас лучше учиться?,"Вам важно, чтобы мерч был уникальным продуктом, который больше ни у кого не встретишь?","Вы готовы платить за лимитированный мерч? Лимитированная коллекция - та, которая выпускается один раз ограниченным тиражом",Обращаете ли вы внимание на экологичность товаров при покупке вещей?,"Вы с большей вероятностью купите мерч, если будете знать, что вырученные средства пойдут на благотворительность?",Вы бы купили мерч в подарок для благотворительного фонда/детского дома? 
04.11.2021 20:40:12,30-39 лет,Мужской,Санкт-Петербург,Неважно,1-3 рабочих дня,Система лояльности,В течение часа,"На самом сайте (чат), Получить ответ на телефон (звонок), Получить ответ в мессенджере/в соцсетях","Нет, но планирую","Нет, мне неважно, какого размера будет логотип","Одежда (футболки, худи и др.)",Да,Да,Нравится,Я никогда не покупал мерч,"Нет, дизайнерам виднее",Да,Да,Да,"Нет, для меня это неважный критерий при выборе товара",Да,Да
04.11.2021 20:41:18,40-49 лет,Женский,Санкт-Петербург,"Яркая (синий, красный, зеленый и тд.)",Неважно,Система лояльности,В течение часа,"На самом сайте (чат), Получить ответ в мессенджере/в соцсетях",Да,"Не люблю, когда на мерче есть логотип","Канцтовары (блокноты, ручки, стикеры и др.)",Да,Да,Нравится,Да,"Да, люблю эксперименты",Нет,Нет,Нет,"Да, большая часть моих вещей - экологичные",Нет,Нет
04.11.2021 20:42:19,23-29 лет,Женский,Усть-Джегута,"Яркая (синий, красный, зеленый и тд.)",4-7 рабочих дней,"Наличие промокода, Скидка",В течение суток,"На самом сайте (чат), Получить ответ на почту","Нет, но планирую","Нет, мне неважно, какого размера будет логотип","Посуда (кружки, термокружки и др.)",Нет,Нет,Не нравится,Я никогда не покупал мерч,"Да, люблю эксперименты",Да,Нет,Да,"Да, большая часть моих вещей - экологичные",Да,Да
04.11.2021 20:46:07,30-39 лет,Женский,Москва,"Сдержанные оттенки (белый, черный, серый)",1-3 рабочих дня,Скидка,В течение часа,"На самом сайте (чат), Получить ответ в мессенджере/в соцсетях","Нет, но планирую","Да, нравится, когда логотип маленького размера","Аксессуары (шоперы, шарфы и др.)",Да,Да,Нравится,Я никогда не покупал мерч,"Нет, дизайнерам виднее",Да,Да,Нет,"Нет, для меня это неважный критерий при выборе товара",Нет,Нет
04.11.2021 20:49:16,30-39 лет,Женский,Невьянск ,"Яркая (синий, красный, зеленый и тд.)",1-3 рабочих дня,Ничего из перечисленного,В течение часа,Получить ответ на телефон (звонок),"Нет, но планирую","Да, нравится, когда логотип маленького размера","Аксессуары (шоперы, шарфы и др.)",Нет,Нет,Не нравится,Я никогда не покупал мерч,"Да, люблю эксперименты",Да,Нет,Нет,"Нет, для меня это неважный критерий при выборе товара",Да,Да
04.11.2021 20:52:07,30-39 лет,Женский,Москва,"Сдержанные оттенки (белый, черный, серый)",1-3 рабочих дня,Ничего из перечисленного,В течение часа,Получить ответ на телефон (смс),Да,"Да, нравится, когда логотип крупный","Канцтовары (блокноты, ручки, стикеры и др.)",Да,Да,Не нравится,Да,"Нет, дизайнерам виднее",Да,Да,Нет,"Да, большая часть моих вещей - экологичные",Да,Да
04.11.2021 20:59:05,30-39 лет,Мужской,Москва,"Сдержанные оттенки (белый, черный, серый)",4-7 рабочих дней,"Наличие промокода, Скидка",В течение суток,"Получить ответ на почту, Получить ответ на телефон (смс), Получить ответ в мессенджере/в соцсетях",Да,"Нет, мне неважно, какого размера будет логотип","Одежда (футболки, худи и др.)",Да,Да,Нравится,Нет,"Нет, дизайнерам виднее",Да,Да,Да,"Нет, для меня это неважный критерий при выборе товара",Да,Да
04.11.2021 21:02:28,23-29 лет,Женский,Москва,"Яркая (синий, красный, зеленый и тд.)",4-7 рабочих дней,Наличие промокода,1-3 часа,"Получить ответ на почту, Получить ответ на телефон (смс)",Да,"Не люблю, когда на мерче есть логотип","Канцтовары (блокноты, ручки, стикеры и др.)",Да,Нет,Не нравится,Да,"Нет, дизайнерам виднее",Да,Нет,Да,"Да, большая часть моих вещей - экологичные",Нет,Нет
04.11.2021 21:07:19,30-39 лет,Женский,Уфа,"Сдержанные оттенки (белый, черный, серый)",4-7 рабочих дней,"Скидка, Система лояльности",1-3 часа,Получить ответ на почту,Да,"Да, нравится, когда логотип маленького размера","Канцтовары (блокноты, ручки, стикеры и др.)",Нет,Нет,Не нравится,Нет,"Нет, дизайнерам виднее",Да,Да,Нет,"Нет, для меня это неважный критерий при выборе товара",Нет,Да
04.11.2021 21:08:46,30-39 лет,Мужской,Ульяновск,"Яркая (синий, красный, зеленый и тд.)",Неважно,"Скидка, Система лояльности",В течение часа,На самом сайте (чат),"Нет, но планирую","Да, нравится, когда логотип маленького размера","Посуда (кружки, термокружки и др.)",Да,Нет,Не нравится,Нет,"Да, люблю эксперименты",Да,Да,Да,"Да, большая часть моих вещей - экологичные",Да,Да
04.11.2021 21:08:58,18-22 лет,Женский,Самара,"Сдержанные оттенки (белый, черный, серый)",4-7 рабочих дней,"Наличие промокода, Система лояльности",В течение суток,"На самом сайте (чат), Получить ответ на почту, Получить ответ в мессенджере/в соцсетях",Да,"Да, нравится, когда логотип маленького размера","Аксессуары (шоперы, шарфы и др.)",Да,Да,Нравится,Да,"Да, люблю эксперименты",Да,Нет,Да,"Да, большая часть моих вещей - экологичные",Да,Да
04.11.2021 21:12:58,30-39 лет,Женский,Москва,"Сдержанные оттенки (белый, черный, серый)",1-3 рабочих дня,Ничего из перечисленного,В течение часа,"На самом сайте (чат), Получить ответ на почту, Получить ответ в мессенджере/в соцсетях",Да,"Не люблю, когда на мерче есть логотип","Аксессуары (шоперы, шарфы и др.)",Да,Да,Нравится,Да,"Нет, дизайнерам виднее",Нет,Да,Да,"Да, большая часть моих вещей - экологичные",Да,Да
04.11.2021 21:19:45,23-29 лет,Женский,Тула,"Яркая (синий, красный, зеленый и тд.)",1-3 рабочих дня,Наличие промокода,В течение часа,Получить ответ на телефон (смс),"Нет, но планирую","Да, нравится, когда логотип маленького размера","Аксессуары (шоперы, шарфы и др.)",Да,Да,Нравится,Да,"Да, люблю эксперименты",Да,Да,Нет,"Нет, для меня это неважный критерий при выборе товара",Нет,Да
04.11.2021 21:25:47,40-49 лет,Женский,Новосибирск,Неважно,1-3 рабочих дня,Скидка,В течение часа,"Получить ответ на почту, Получить ответ на телефон (звонок), Получить ответ на телефон (смс), Получить ответ в мессенджере/в соцсетях",Нет и не планирую,"Нет, мне неважно, какого размера будет логотип","Аксессуары (шоперы, шарфы и др.)",Нет,Да,Не нравится,Нет,"Да, люблю эксперименты",Нет,Нет,Нет,"Нет, для меня это неважный критерий при выборе товара",Нет,Нет
04.11.2021 21:28:07,30-39 лет,Женский,Самара,"Сдержанные оттенки (белый, черный, серый)",1-3 рабочих дня,"Наличие промокода, Скидка, Система лояльности",В течение часа,"На самом сайте (чат), Получить ответ на почту",Нет и не планирую,"Не люблю, когда на мерче есть логотип",Всё из перечисленного и можно больше,Нет,Нет,Не нравится,Я никогда не покупал мерч,"Да, люблю эксперименты",Да,Да,Нет,"Да, большая часть моих вещей - экологичные",Нет,Нет
04.11.2021 21:28:59,23-29 лет,Женский,Санкт-Петербург,Неважно,Неважно,"Наличие промокода, Скидка",Неважно,"Получить ответ на почту, Получить ответ на телефон (звонок), Получить ответ в мессенджере/в соцсетях",Да,"Нет, мне неважно, какого размера будет логотип","Аксессуары (шоперы, шарфы и др.)",Да,Да,Не нравится,Нет,"Да, люблю эксперименты",Да,Нет,Да,"Да, большая часть моих вещей - экологичные",Да,Нет
04.11.2021 21:29:09,30-39 лет,Женский,Санкт-Петербург,"Сдержанные оттенки (белый, черный, серый)",1-3 рабочих дня,"Скидка, Система лояльности",В течение суток,"На самом сайте (чат), Получить ответ на почту, Получить ответ на телефон (смс), Получить ответ в мессенджере/в соцсетях",Да,"Да, нравится, когда логотип маленького размера","Посуда (кружки, термокружки и др.)",Да,Да,Нравится,Да,"Да, люблю эксперименты",Да,Нет,Нет,"Нет, для меня это неважный критерий при выборе товара",Нет,Нет
04.11.2021 21:35:19,23-29 лет,Женский,Москва,"Сдержанные оттенки (белый, черный, серый)",4-7 рабочих дней,"Скидка, Система лояльности",1-3 часа,"На самом сайте (чат), Получить ответ на почту, Получить ответ в мессенджере/в соцсетях",Да,"Нет, мне неважно, какого размера будет логотип","Аксессуары (шоперы, шарфы и др.)",Да,Да,Нравится,Да,"Нет, дизайнерам виднее",Нет,Нет,Да,"Да, большая часть моих вещей - экологичные",Да,Да
04.11.2021 21:46:01,30-39 лет,Женский,Екатеринбург,"Сдержанные оттенки (белый, черный, серый)",4-7 рабочих дней,"Наличие промокода, Скидка, Система лояльности",В течение суток,"Получить ответ на почту, Получить ответ на телефон (смс)",Да,"Да, нравится, когда логотип маленького размера","Одежда (футболки, худи и др.)",Да,Да,Нравится,Нет,"Нет, дизайнерам виднее",Да,Да,Да,"Да, большая часть моих вещей - экологичные",Да,Да
04.11.2021 21:47:45,30-39 лет,Мужской,Тула,"Сдержанные оттенки (белый, черный, серый)",4-7 рабочих дней,"Наличие промокода, Скидка, Система лояльности",В течение часа,"На самом сайте (чат), Получить ответ на телефон (звонок), Получить ответ в мессенджере/в соцсетях",Да,"Да, нравится, когда логотип маленького размера","Одежда (футболки, худи и др.)",Да,Да,Нравится,Нет,"Да, люблю эксперименты",Да,Да,Да,"Да, большая часть моих вещей - экологичные",Да,Да
04.11.2021 21:56:37,23-29 лет,Женский,Запорожье ,Неважно,1-3 рабочих дня,"Наличие промокода, Скидка, Система лояльности",В течение часа,Получить ответ на телефон (звонок),"Нет, но планирую","Нет, мне неважно, какого размера будет логотип","Одежда (футболки, худи и др.)",Да,Да,Нравится,Я никогда не покупал мерч,"Да, люблю эксперименты",Нет,Да,Да,"Да, большая часть моих вещей - экологичные",Нет,Нет
04.11.2021 21:58:38,23-29 лет,Мужской,Краснодар,"Яркая (синий, красный, зеленый и тд.)",более 7 рабочих дней,"Скидка, Система лояльности",В течение часа,Получить ответ в мессенджере/в соцсетях,"Нет, но планирую","Да, нравится, когда логотип маленького размера","Одежда (футболки, худи и др.)",Да,Да,Нравится,Нет,"Нет, дизайнерам виднее",Да,Да,Нет,"Да, большая часть моих вещей - экологичные",Да,Да
04.11.2021 21:58:45,30-39 лет,Женский,Ростов-на-Дону,Неважно,4-7 рабочих дней,Система лояльности,Неважно,"Получить ответ на почту, Получить ответ в мессенджере/в соцсетях",Да,"Нет, мне неважно, какого размера будет логотип","Канцтовары (блокноты, ручки, стикеры и др.)",Да,Да,Не нравится,Да,"Нет, дизайнерам виднее",Да,Да,Да,"Да, большая часть моих вещей - экологичные",Нет,Нет
04.11.2021 22:03:34,40-49 лет,Женский,Москва,"Сдержанные оттенки (белый, черный, серый)",4-7 рабочих дней,Ничего из перечисленного,В течение суток,"На самом сайте (чат), Получить ответ на почту, Получить ответ в мессенджере/в соцсетях",Да,"Да, нравится, когда логотип маленького размера","Канцтовары (блокноты, ручки, стикеры и др.)",Да,Да,Не нравится,Да,"Да, люблю эксперименты",Нет,Нет,Нет,"Нет, для меня это неважный критерий при выборе товара",Нет,Да
04.11.2021 22:24:14,30-39 лет,Мужской,Симферополь,"Сдержанные оттенки (белый, черный, серый)",4-7 рабочих дней,"Наличие промокода, Система лояльности",В течение суток,"Получить ответ на почту, Получить ответ на телефон (звонок)","Нет, но планирую","Да, нравится, когда логотип маленького размера","Одежда (футболки, худи и др.)",Да,Да,Нравится,Я никогда не покупал мерч,"Да, люблю эксперименты",Да,Да,Да,"Нет, для меня это неважный критерий при выборе товара",Да,Да
04.11.2021 22:24:19,23-29 лет,Мужской,Тольятти ,"Яркая (синий, красный, зеленый и тд.)",4-7 рабочих дней,Система лояльности,В течение часа,"Получить ответ на почту, Получить ответ на телефон (звонок), Получить ответ на телефон (смс)","Нет, но планирую","Да, нравится, когда логотип крупный","Одежда (футболки, худи и др.)",Нет,Нет,Не нравится,Я никогда не покупал мерч,"Да, люблю эксперименты",Нет,Да,Да,"Нет, для меня это неважный критерий при выборе товара",Да,Да
04.11.2021 22:25:20,18-22 лет,Мужской,Самара,"Яркая (синий, красный, зеленый и тд.)",4-7 рабочих дней,Система лояльности,В течение часа,"Получить ответ на почту, Получить ответ на телефон (звонок)","Нет, но планирую","Да, нравится, когда логотип крупный","Одежда (футболки, худи и др.)",Нет,Нет,Не нравится,Я никогда не покупал мерч,"Да, люблю эксперименты",Нет,Да,Да,"Нет, для меня это неважный критерий при выборе товара",Да,Да
04.11.2021 22:26:28,18-22 лет,Мужской,Самара,"Яркая (синий, красный, зеленый и тд.)",4-7 рабочих дней,Система лояльности,В течение часа,"Получить ответ на почту, Получить ответ на телефон (звонок)",Нет и не планирую,"Да, нравится, когда логотип крупный","Одежда (футболки, худи и др.)",Нет,Нет,Не нравится,Я никогда не покупал мерч,"Да, люблю эксперименты",Нет,Да,Да,"Нет, для меня это неважный критерий при выборе товара",Да,Да
